Donor:	V2R-Rluc	
Acceptor:	V2R-Venus	
Fluorescence	Luminescence	BRET ratio
1.161506988	0.496489099	0.165264994
1.775692285	0.50968974	0.226226489
1.306853386	0.618419731	0.176604889
1.56449715	0.706352989	0.195456829
1.455414485	0.728787219	0.185310278
0.967155738	0.746438333	0.127798487
0.892591631	0.759020129	0.114033347
1.367661046	0.764881514	0.193077252
0.869984277	0.773954784	0.11145117
0.282701746	0.776957034	0.021693541
0.772166713	0.778784916	0.110521868
0.142810044	0.79027317	0.008327523
1.805992829	0.792770239	0.185991321
0.39406635	0.804331646	0.052505294
0.236642832	0.816086236	0.009220764
1.507964249	0.829894556	0.176666504
0.281400413	0.851117481	0.035386732
1.335842511	0.851908626	0.165845009
0.9882264	0.861782724	0.110914484
0.503361016	0.881733962	0.068096795
1.587180589	0.891491665	0.194060067
1.501128734	0.893093357	0.169418128
0.273377374	0.901124753	0.04340892
1.014872282	0.904234602	0.110146237
0.959707908	0.907413414	0.111888524
0.426202993	0.927170259	0.042157924
1.435612186	0.953679233	0.170760988
0.497822765	0.959230006	0.062071117
0.777018033	0.990509804	0.074434978
0.32659632	0.992088302	0.036841813
0.063686223	0.995085183	0.004778005
1.70506949	0.997467921	0.182139243
0.996388286	0.998513463	0.111675508
0.970288028	0.998582604	0.112997142
0.590988452	0.999099721	0.075674786
1.029711972	1.001417396	0.10594445
1.003611714	1.001486537	0.107266084
0.451735719	1.010081834	0.044179689
0.060434807	1.043291298	0.005544299
0.642217843	1.055255111	0.071315382
0.141111562	1.069424734	0.012150761
1.040292092	1.092586586	0.107053068
0.985127718	1.095765398	0.108795355
1.784513343	1.098219683	0.181152296
0.51378279	1.104552161	0.054445658
1.586213562	1.112857884	0.107287695
0.896471128	1.129574205	0.082159164
1.0117736	1.138217276	0.108027108
0.148306449	1.142707563	0.017121057
0.152087649	1.153889652	0.016722304
0.897341244	1.156254618	0.107333739
0.091789134	1.156665039	0.013134649
0.114597509	1.161150416	0.002788687
1.227833287	1.221215084	0.108419724
1.130015723	1.226045216	0.107490422
0.304325203	1.229045796	0.033400645
0.547993483	1.229414665	0.045047453
1.107408369	1.240979871	0.104908245
0.265693052	1.245476705	0.02498979
1.032844262	1.253561667	0.091143105
0.592053663	1.328817788	0.055529475
0.51574279	1.346740306	0.043464224
0.702174489	1.371125509	0.047188087
1.306003025	1.41141382	0.098669029
0.6279457	1.430173795	0.055669738
1.576468716	1.472045051	0.16844142
