Donor	Acceptor	Fluorescence	Luminescence	BRETratio
V2RRLuc	V2RVenus	2.450985	0.2987662	0.3252942
V2RRLuc	V2RVenus	2.800436	0.4419079	0.3270684
V2RRLuc	V2RVenus	2.781362	0.4857442	0.3147476
V2RRLuc	V2RVenus	1.161507	0.4964891	0.165265
V2RRLuc	V2RVenus	2.81207	0.5060835	0.3086901
V2RRLuc	V2RVenus	1.775692	0.5096897	0.2262265
V2RRLuc	V2RVenus	2.150853	0.5369412	0.3238507
V2RRLuc	V2RVenus	2.220103	0.5527334	0.3008312
V2RRLuc	V2RVenus	2.120665	0.5800008	0.260408
V2RRLuc	V2RVenus	1.306853	0.6184197	0.1766049
V2RRLuc	V2RVenus	2.721541	0.68059	0.2549441
V2RRLuc	V2RVenus	1.564497	0.706353	0.1954568
V2RRLuc	V2RVenus	2.023393	0.7067604	0.2564576
V2RRLuc	V2RVenus	1.455415	0.7287872	0.1853103
V2RRLuc	V2RVenus	2.424255	0.731288	0.2166451
V2RRLuc	V2RVenus	0.9671558	0.7464383	0.1277985
V2RRLuc	V2RVenus	0.8925917	0.7590201	0.1140333
V2RRLuc	V2RVenus	1.367661	0.7648815	0.1930773
V2RRLuc	V2RVenus	0.8699843	0.7739548	0.1114512
V2RRLuc	V2RVenus	0.2827018	0.776957	0.02169354
V2RRLuc	V2RVenus	0.7721667	0.7787849	0.1105219
V2RRLuc	V2RVenus	0.14281	0.7902732	0.008327523
V2RRLuc	V2RVenus	1.805993	0.7927703	0.1859913
V2RRLuc	V2RVenus	2.587869	0.7941935	0.2608274
V2RRLuc	V2RVenus	2.174874	0.7981076	0.2307906
V2RRLuc	V2RVenus	0.3940664	0.8043317	0.0525053
V2RRLuc	V2RVenus	0.2366428	0.8160862	0.009220764
V2RRLuc	V2RVenus	1.507964	0.8298945	0.1766665
V2RRLuc	V2RVenus	2.39249	0.836024	0.2333524
V2RRLuc	V2RVenus	0.2814004	0.8511175	0.03538673
V2RRLuc	V2RVenus	1.335842	0.8519086	0.165845
V2RRLuc	V2RVenus	0.9882264	0.8617827	0.1109145
V2RRLuc	V2RVenus	0.503361	0.881734	0.06809679
V2RRLuc	V2RVenus	1.587181	0.8914917	0.1940601
V2RRLuc	V2RVenus	1.501129	0.8930933	0.1694181
V2RRLuc	V2RVenus	0.2733774	0.9011248	0.04340892
V2RRLuc	V2RVenus	1.014872	0.9042346	0.1101462
V2RRLuc	V2RVenus	0.9597079	0.9074134	0.1118885
V2RRLuc	V2RVenus	0.426203	0.9271703	0.04215793
V2RRLuc	V2RVenus	1.435612	0.9536792	0.170761
V2RRLuc	V2RVenus	0.4978228	0.95923	0.06207112
V2RRLuc	V2RVenus	0.777018	0.9905098	0.07443498
V2RRLuc	V2RVenus	0.3265963	0.9920883	0.03684181
V2RRLuc	V2RVenus	0.06368622	0.9950852	0.004778005
V2RRLuc	V2RVenus	1.70507	0.9974679	0.1821392
V2RRLuc	V2RVenus	0.9963883	0.9985135	0.1116755
V2RRLuc	V2RVenus	0.970288	0.9985826	0.1129971
V2RRLuc	V2RVenus	0.5909885	0.9990997	0.07567479
V2RRLuc	V2RVenus	1.029712	1.001417	0.1059444
V2RRLuc	V2RVenus	1.003612	1.001487	0.1072661
V2RRLuc	V2RVenus	0.4517357	1.010082	0.04417969
V2RRLuc	V2RVenus	2.402809	1.030978	0.1773562
V2RRLuc	V2RVenus	2.218702	1.038658	0.2384282
V2RRLuc	V2RVenus	0.06043481	1.043291	0.005544299
V2RRLuc	V2RVenus	0.6422178	1.055255	0.07131539
V2RRLuc	V2RVenus	0.1411116	1.069425	0.01215076
V2RRLuc	V2RVenus	1.040292	1.092587	0.1070531
V2RRLuc	V2RVenus	0.9851277	1.095765	0.1087954
V2RRLuc	V2RVenus	1.784513	1.09822	0.1811523
V2RRLuc	V2RVenus	0.5137828	1.104552	0.05444566
V2RRLuc	V2RVenus	1.586214	1.112858	0.1072877
V2RRLuc	V2RVenus	0.8964711	1.129574	0.08215916
V2RRLuc	V2RVenus	1.011774	1.138217	0.1080271
V2RRLuc	V2RVenus	0.1483064	1.142708	0.01712106
V2RRLuc	V2RVenus	0.1520876	1.15389	0.0167223
V2RRLuc	V2RVenus	0.8973413	1.156255	0.1073337
V2RRLuc	V2RVenus	0.09178913	1.156665	0.01313465
V2RRLuc	V2RVenus	0.1145975	1.16115	0.002788687
V2RRLuc	V2RVenus	1.227833	1.221215	0.1084197
V2RRLuc	V2RVenus	1.130016	1.226045	0.1074904
V2RRLuc	V2RVenus	0.3043252	1.229046	0.03340064
V2RRLuc	V2RVenus	2.487492	1.229203	0.2482646
V2RRLuc	V2RVenus	0.5479935	1.229415	0.04504745
V2RRLuc	V2RVenus	1.107408	1.24098	0.1049082
V2RRLuc	V2RVenus	0.265693	1.245477	0.02498979
V2RRLuc	V2RVenus	1.032844	1.253562	0.0911431
V2RRLuc	V2RVenus	0.5920537	1.328818	0.05552948
V2RRLuc	V2RVenus	0.5157428	1.34674	0.04346422
V2RRLuc	V2RVenus	0.7021745	1.371125	0.04718809
V2RRLuc	V2RVenus	1.306003	1.411414	0.09866903
V2RRLuc	V2RVenus	0.6279457	1.430174	0.05566974
V2RRLuc	V2RVenus	2.444226	1.456705	0.1961212
V2RRLuc	V2RVenus	1.576469	1.472045	0.1684414
V2RRLuc	V2RVenus	2.092044	1.485575	0.194003
V2RRLuc	V2RVenus	1.088487	1.492318	0.09886505
V2RRLuc	V2RVenus	2.023898	1.492393	0.1513487
V2RRLuc	V2RVenus	0.2048632	1.497998	0.01383591
V2RRLuc	V2RVenus	1.865149	1.57982	0.1675253
V2RRLuc	V2RVenus	1.593817	1.619597	0.1511993
V2RRLuc	V2RVenus	0.199784	1.636021	0.01508853
V2RRLuc	V2RVenus	0.4822449	1.664794	0.04810975
V2RRLuc	V2RVenus	1.658997	1.665511	0.1067227
V2RRLuc	V2RVenus	0.3457696	1.714273	0.0251352
V2RRLuc	V2RVenus	0.5417782	1.734085	0.04252898
