Donor:	V2R-Rluc	
Acceptor:	V2R-Venus	
Fluorescence	Luminescence	BRET ratio
0.06368622	0.9950852	0.004649125
0.09178913	1.156665	0.01278036
0.1483064	1.142708	0.01665924
0.1520876	1.15389	0.01627124
0.2733774	0.9011248	0.04223802
0.3265963	0.9920883	0.03584806
0.6279457	1.430174	0.05717136
0.5920537	1.328818	0.05702731
0.4978228	0.95923	0.06039683
0.503361	0.881734	0.06625997
1.088487	1.492318	0.1015318
0.8973413	1.156255	0.1102289
1.011774	1.138217	0.1051132
1.040292	1.092587	0.1099407
0.9597079	0.9074134	0.1149066
0.9882264	0.8617827	0.1079227
1.435612	0.9536792	0.1661549
1.70507	0.9974679	0.1772263
2.023393	0.7067604	0.24954
2.587869	0.7941935	0.253792
2.424255	0.731288	0.2224888
1.775692	0.5096897	0.2323287
3.137587	0.7469881	0.2692104
3.23399	0.7350153	0.2762125
3.509995	0.7064403	0.2892092
3.578361	0.6694702	0.3190544
3.847836	0.7066361	0.290794
3.04179	0.5502011	0.298816
2.81207	0.5060835	0.3003636
3.286023	0.5881672	0.2980825
2.781362	0.4857442	0.3232375
3.262839	0.4861759	0.3075057
3.899203	0.4850762	0.351287
4.024632	0.4801474	0.3435222
4.673475	0.3951211	0.3550335
5.431359	0.4000921	0.3662038
		
Donor:	V2R-Rluc	
Acceptor:	AT1R-Venus	
Fluorescence	Luminescence	BRET ratio
0.1702674	1.750809	0.006377224
0.1758506	1.550596	0.005409483
0.1696609	1.215247	0.007355138
0.2163426	1.377488	0.006489909
0.2911835	1.719739	0.008614699
0.2924024	1.666271	0.00569244
0.2873499	1.164229	0.01174232
0.2818792	1.085576	0.01152543
0.4191057	1.293491	0.01415283
0.4971056	1.480142	0.01724496
0.5744739	1.084552	0.0296836
0.6699281	1.090955	0.02400094
0.6859429	1.024631	0.0252755
0.739264	1.045006	0.03301439
0.7669673	0.7642985	0.03185404
0.9709619	0.9477001	0.03542865
1.026239	0.9497922	0.03685374
1.212044	1.108505	0.03672433
1.248691	1.088168	0.03573633
0.9541415	0.7282789	0.04154154
0.8284402	0.6068733	0.04384111
1.386776	0.9729355	0.03878956
1.034612	0.7191004	0.05130665
1.546463	1.050972	0.03958134
1.052451	0.6935983	0.04388772
1.097061	0.722953	0.04053213
1.039202	0.6663713	0.04530323
1.013145	0.5930769	0.04491104
1.624912	0.8262833	0.04154189
1.454238	0.7191616	0.03927513
1.204465	0.5118189	0.05329436
