Donor:	PM2-FKBP-Rluc	
Acceptor:	Venus-FRB-CAAX	
rapamycin	0	
Fluorescence	Luminescence	BRET ratio
0.2205118	0.136315969	0.003452705
0.3668456	0.176673093	0.00131392
0.180407	0.197619306	0.001417655
0.2171185	0.248732073	0.008428588
0.1603934	0.262218598	0.00395399
0.464586	0.303868256	0
1.184641	0.339595538	0.01087656
1.897275	0.383862898	0.02027506
0.9337167	0.386841212	0.0132203
0.4887326	0.422612361	0.006852662
1.554504	0.427700857	0.0232606
0.2442643	0.430075946	-0.002638848
0.6136562	0.44554884	0.001415991
1.568028	0.479037299	0.01319496
0.2349778	0.500045647	0.004724716
1.847948	0.593867248	0.01194367
0.9549183	0.618661129	0.02059423
1.123577	0.629701491	0.01337963
1.262602	0.665786406	0.01320167
0.9978969	0.692390618	0.006705564
1.624528	0.742609121	0.02639251
0.4823546	0.93985877	0.01217621
0.7686804	0.943798422	0.0179324
0.4416653	0.948029234	0.01223433
0.6535438	0.956036811	0.01263182
1.151996	0.958562816	0.02260688
1.317427	0.975905828	0.006104308
0.5626957	0.989225847	0.003773455
1.552383	1.038563203	0.02540009
1.061624	1.040757846	0.01544929
1.29289	1.074643812	0.01059729
0.790316	1.081361686	0.01085305
0.7597283	1.092965346	0.01277253
0.7064732	1.135267652	0.003844125
0.3131142	1.143178952	0.000119552
1.248105	1.334620863	0.01445622
1.140218	1.558592346	0.02303473
0.6409317	1.598638394	0.006405997
0.6550853	1.666921889	0.01519778
1.255365	1.706646318	0.02463906
0.4146983	1.753628741	0.000281517
1.533083	1.756071406	0.02196753
0.8253434	1.845601101	0.01809205
0.7304773	1.861700059	0.005182497
0.465124	1.878586032	0.006889962
0.4394096	1.899509744	0.000629027
0.4012449	1.926884084	0.004371851
0.1451769	1.963485796	-0.000867777
0.922013	2.023388461	0.01661568
0.7040743	2.068276168	0.006934446
0.7141693	2.080942589	0.01352681
0.8117958	2.103962951	0.002612392
0.2466196	2.173974672	0.002390879
0.3029686	2.23509762	0.005598564
0.6837583	2.31886627	0.006398527
1.399107	2.342307306	0.01189165
1.379739	2.508162158	0.01908409
1.256849	2.565009476	0.01413709
0.9668406	2.604655586	0.01619318
0.2797975	2.784841687	0.006598934
0.4097956	2.822390655	0.006900935
0.7304947	2.828316278	0.01055621
0.7062703	2.970207936	0.01030482
0.1011304	3.02258396	0.000194426
0.5348639	3.177506205	0.006089574
0.3258278	3.336940363	0.003392599
0.09256545	3.374763751	0.002629288
0.7595641	3.492560256	0.01001237
0.323275	3.588497892	0.004284501
0.5830539	3.610694719	0.004194241
0.3742251	3.646828096	0.006936174
0.7837343	3.847914131	0.009995917
1.5575	3.898460315	0.01532118
0.3421041	3.977569844	0.00565
		
Donor:	PM2-FKBP-Rluc	
Acceptor:	Venus-FRB-CAAX	
rapamycin	1	
Fluorescence	Luminescence	BRET ratio
0.828274	0.175756026	0.1715349
0.9467037	0.191565389	0.197397
0.3839892	0.204650384	0.1082931
0.2909198	0.211029819	0.1178404
0.4664606	0.234089056	0.1223884
0.1691223	0.268093063	0.06754865
0.1603224	0.281160429	0.07187698
0.1457755	0.296013222	0.06130768
0.1745547	0.302716887	0.07246731
1.792632	0.347352151	0.2218265
0.7886398	0.370819754	0.1974989
0.8405529	0.381981644	0.1903665
1.288756	0.402150744	0.2001564
1.587327	0.416614152	0.2326205
1.185989	0.451604907	0.2112494
0.9725564	0.50799817	0.2000495
0.8229535	0.513544487	0.1285118
1.123958	0.524313376	0.2105111
0.2777494	0.611502121	0.1122015
0.8993831	0.653598164	0.1968305
0.2427334	0.681368197	0.0558273
0.1481805	0.691603289	0.05176538
1.477489	0.696586395	0.233556
1.763768	0.713417285	0.222235
1.175199	0.765074128	0.1547943
1.122733	0.783295717	0.1687355
0.3808967	0.813197049	0.1032841
0.7195138	0.878258925	0.1318572
0.5883105	0.894959519	0.1394229
1.194151	0.909139426	0.1537957
0.5747337	0.916133947	0.09859145
0.253457	0.925787802	0.08689767
1.405565	1.032219474	0.168436
1.212715	1.054410087	0.1562357
0.1164948	1.068569447	0.03563961
0.7178519	1.076763421	0.1240691
0.5874638	1.115786667	0.1052673
0.7068632	1.149872139	0.127497
0.2669407	1.193686722	0.04571785
1.082369	1.199350666	0.1492577
0.3262593	1.209353177	0.04667676
1.873569	1.214989047	0.1978579
0.9564282	1.215679979	0.1455638
0.4141278	1.310038919	0.05142077
0.1855932	1.31969879	0.03554792
1.230189	1.330757973	0.1998145
1.308074	1.346053159	0.1529995
0.3664717	1.382449868	0.05823373
1.420194	1.460539355	0.1674453
1.025235	1.479123602	0.1445938
1.288588	1.537632859	0.1513618
0.1378165	1.566312671	0.02766329
0.9105004	1.642922166	0.1403951
0.670971	1.756928515	0.09136228
0.2871882	1.847804645	0.05194366
0.6631333	1.871417682	0.09256382
0.3639057	1.98988559	0.0534905
1.014205	2.009046807	0.1456851
0.8995188	2.176928956	0.1116563
0.3751912	2.198340425	0.05098933
0.6073834	2.206716974	0.09213463
1.07683	2.223395924	0.1460227
0.1368049	2.267361767	0.01243506
0.7584862	2.321319991	0.09231097
0.9805655	2.358446728	0.09808968
0.6689445	2.362703694	0.08718609
0.3079877	2.364837607	0.03580394
1.032072	2.369007827	0.09605902
